#tax_id,GeneID,Symbol
9606,796,CALCA
9606,799,CALCR
9606,800,CALD1
9606,255022,CALHM1
9606,801,CALM1
9606,805,CALM2
9606,808,CALM3
9606,811,CALR
9606,125972,CALR3
9606,813,CALU
9606,815,CAMK2A
9606,816,CAMK2B
9606,818,CAMK2G
9606,10645,CAMKK2
9606,79823,CAMKMT
9606,23261,CAMTA1
9606,55832,CAND1
9606,124583,CANT1
9606,823,CAPN1
9606,11132,CAPN10
9606,825,CAPN3
9606,726,CAPN5
9606,827,CAPN6
9606,65981,CAPRIN2
9606,832,CAPZB
9606,84433,CARD11
9606,79092,CARD14
9606,22900,CARD8
9606,64170,CARD9
9606,146206,CARMIL2
9606,79587,CARS2
9606,9607,CARTPT
9606,8573,CASK
9606,57513,CASKIN2
9606,834,CASP1
9606,843,CASP10
9606,100506742,CASP12
9606,835,CASP2
9606,839,CASP6
9606,841,CASP8
9606,842,CASP9
9606,844,CASQ1
9606,845,CASQ2
9606,846,CASR
9606,831,CAST
9606,847,CAT
9606,117144,CATSPER1
9606,117155,CATSPER2
9606,257044,CATSPERE
9606,857,CAV1
9606,858,CAV2
9606,859,CAV3
9606,284119,CAVIN1
9606,347273,CAVIN4
9606,863,CBFA2T3
9606,865,CBFB
9606,867,CBL
9606,868,CBLB
9606,23624,CBLC
9606,2694,CBLIF
9606,158506,CBLL2
9606,874,CBR3
9606,875,CBS
9606,84733,CBX2
9606,23492,CBX7
9606,25776,CBY1
9606,54862,CC2D1A
9606,57545,CC2D2A
9606,147372,CCBE1
9606,388389,CCDC103
9606,203260,CCDC107
9606,93233,CCDC114
9606,84317,CCDC115
9606,90060,CCDC120
9606,133957,CCDC127
9606,151278,CCDC140
9606,80071,CCDC15
9606,115948,CCDC151
9606,643677,CCDC168
9606,80129,CCDC170
9606,203238,CCDC171
9606,51244,CCDC174
9606,100499483,CCDC180
9606,55195,CCDC198
9606,28952,CCDC22
9606,79140,CCDC28B
9606,80125,CCDC33
9606,339829,CCDC39
9606,55036,CCDC40
9606,152137,CCDC50
9606,8030,CCDC6
9606,85478,CCDC65
9606,168455,CCDC71L
9606,124093,CCDC78
9606,83987,CCDC8
9606,338657,CCDC84
9606,55704,CCDC88A
9606,440193,CCDC88C
9606,54535,CCHCR1
9606,886,CCKAR
9606,887,CCKBR
9606,6356,CCL11
9606,6347,CCL2
9606,6368,CCL23
9606,10344,CCL26
9606,6348,CCL3
9606,6349,CCL3L1
9606,414062,CCL3L3
9606,6351,CCL4
9606,6352,CCL5
9606,83605,CCM2
9606,1490,CCN2
9606,4856,CCN3
9606,8840,CCN4
9606,8838,CCN6
9606,890,CCNA2
9606,85417,CCNB3
9606,595,CCND1
9606,894,CCND2
9606,896,CCND3
9606,9134,CCNE2
9606,81669,CCNL2
9606,10309,CCNO
9606,92002,CCNQ
9606,905,CCNT2
